day,total_transactions,successful_transactions,failed_transactions,volume_anomaly
2026-04-06,22,22,0,False
2026-04-07,298,287,11,False
2026-04-08,320,311,9,False
2026-04-09,372,359,13,False
2026-04-10,350,202,148,False
2026-04-11,344,334,10,False
2026-04-12,340,327,13,False
2026-04-13,287,280,7,False
2026-04-14,316,303,13,False
2026-04-15,343,330,13,False
2026-04-16,365,355,10,False
2026-04-17,310,303,7,False
2026-04-18,349,342,7,False
2026-04-19,316,308,8,False
2026-04-20,329,317,12,False
2026-04-21,345,340,5,False
2026-04-22,313,302,11,False
2026-04-23,332,321,11,False
2026-04-24,328,317,11,False
2026-04-25,341,329,12,False
2026-04-26,361,351,10,False
2026-04-27,369,355,14,False
2026-04-28,334,319,15,False
2026-04-29,344,335,9,False
2026-04-30,322,318,4,False
2026-05-01,347,339,8,False
2026-05-02,363,350,13,False
2026-05-03,603,579,24,True
2026-05-04,307,299,8,False
2026-05-05,325,316,9,False
2026-05-06,328,319,9,False
